tracking_id,order_date,delivery_date,carrier,origin_warehouse,destination_city,weight_kg,distance_km,status,vehicle_type,shipping_cost_eur,customer_name,phone,lat,lon
FR-221958,2025-07-20,2025-07-28,Kuehne+Nagel,Marseille Port Depot,Nantes,23.2,407.1,Livré,fourgonnette,9.13,46b06486d10dd744,588473ce6d202014,47.18936,-1.57986
FR-284779,2025-07-26,2025-08-04,DB Schenker,Paris-CDG Hub,Bordeaux,4943.1,65.3,Livré,train,268.09,4539984fb9bfe688,4eabd5b74c30f3a7,44.80777,-0.59378
FR-778843,2025-07-07,2025-07-10,GLS,Paris-CDG Hub,Toulouse,2837.8,628.9,Livré,train,277.91,6a5796584ab1ac8a,122c1a549c2061a4,43.61333,1.46041
FR-664685,2025-07-23,2025-07-31,Kuehne+Nagel,Paris-CDG Hub,Nice,4854.1,732.4,Livré,gros_camion,507.9,420ccf90b5c7ed29,dd79cf2b389a691d,43.73931,7.30639
FR-229312,2025-07-27,,Unknown,Bordeaux Logistics Park,Besançon,517.5,403.8,En attente,petit_camion,95.26,e99e31c1b5468d2d,c051c071a9385f6e,47.18591,6.02031
FR-284064,2025-07-05,2025-07-12,UPS,Paris-CDG Hub,Paris,285.8,615.2,Livré,petit_camion,129.07,176085ab92f665ad,2af474ea82272fca,48.86339,2.3826
FR-515515,2025-07-02,2025-07-11,Kuehne+Nagel,Marseille Port Depot,Strasbourg,1899.3,1072.1,Retardé,train,294.8,c8796666bc9acaab,5a20f34318708010,48.63709,7.7375
FR-599046,2025-07-06,2025-07-11,DHL,Paris-CDG Hub,Lille,16.5,627.4,Livré,fourgonnette,16.89,1e3f6890d2ddffa6,4f2506cf47dda536,50.53326,3.05597
FR-193264,2025-07-27,,XPO Logistics,Marseille Port Depot,Lille,525.8,820.0,En attente,petit_camion,142.35,75a44226210eb23d,8b9d62ca04576682,50.56311,3.02389
FR-468452,2025-07-20,,Chronopost,Paris-CDG Hub,Marseille,9.7,58.5,En transit,fourgonnette,11.73,b1a521ada32f8bf9,9b850c7bb524d77a,43.32332,5.32407
FR-987121,2025-07-08,,Unknown,Bordeaux Logistics Park,Toulouse,1883.4,795.4,En transit,gros_camion,429.18,dc995e4ea96bebf0,6c285d4b9342b37e,43.60784,1.46928
FR-798376,2025-07-09,2025-07-12,Kuehne+Nagel,Bordeaux Logistics Park,Nantes,531.5,110.1,Retardé,petit_camion,89.46,c0fdb3ce997f47fa,8b2ae0d89fda72f6,47.22714,-1.61444
FR-554351,2025-07-29,2025-08-02,DHL,Lyon Distribution Center,Marseille,33.1,686.3,Livré,fourgonnette,10.2,46b06486d10dd744,96a02af1c81b4530,43.31033,5.41116
FR-940477,2025-07-01,,DHL,Lyon Distribution Center,Toulouse,28.8,924.6,En transit,fourgonnette,10.05,50b6dd7a25a72160,bff9fb5df9248d04,43.62152,1.44673
FR-241564,2025-07-21,2025-07-24,DB Schenker,Bordeaux Logistics Park,Nantes,4706.1,93.8,Retourné,gros_camion,375.98,076d9a82acb00f0c,6e756e7fd83cfcbe,47.24089,-1.46465
FR-542905,2025-07-03,2025-07-16,Unknown,Marseille Port Depot,Strasbourg,49.4,94.4,Retourné,avion,198.09,fb9a24e0a82c372f,c9f5ec34ed701dec,48.51339,7.81217
FR-750429,2025-07-29,,XPO Logistics,Paris-CDG Hub,Paris,6.8,631.5,En transit,fourgonnette,17.16,6dcb5f2757af7881,78fc37d9efd6cba7,48.85124,2.32789
FR-727769,2025-07-23,2025-07-28,XPO Logistics,Bordeaux Logistics Park,Tours,180.0,196.2,Livré,petit_camion,66.61,a411faa4604af305,b1746b7d3016080a,47.50021,0.73642
FR-840427,2025-07-26,2025-08-01,Unknown,Lyon Distribution Center,Lyon,,30.4,Livré,train,215.87,6dcb5f2757af7881,2fb6b98ebec62423,45.74778,4.86193
FR-472370,2025-07-26,2025-07-31,Chronopost,Lyon Distribution Center,Rennes,911.3,707.1,Retourné,gros_camion,379.64,4761f7fa3a69433b,9860c0f0b40fa36a,48.15164,-1.67425
FR-138304,2025-07-08,2025-07-21,Chronopost,Paris-CDG Hub,Paris,3668.6,94.7,Livré,gros_camion,344.2,ba12f74cff0e9464,72c850ffc14bd382,48.9042,2.42483
FR-992323,2025-07-25,,DHL,Lyon Distribution Center,Le Mans,49.5,501.0,En attente,fourgonnette,14.0,e99e31c1b5468d2d,73e1cece1ad04865,48.08374,0.17762
FR-514568,2025-07-30,2025-08-03,GLS,Bordeaux Logistics Park,Lille,5.4,73.6,Livré,fourgonnette,15.4,a7343d238975093d,f749f28a70e02d68,50.72482,3.11056
FR-727083,2025-07-25,,DHL,Lyon Distribution Center,Saint-Étienne,135.1,1117.8,En transit,petit_camion,139.75,2e77fde05867cb62,36c56824ade543ab,45.4442,4.39134
FR-383821,2025-07-13,2025-07-15,Unknown,Paris-CDG Hub,Lyon,59.1,701.8,Livré,avion,357.89,80c6e1b004c4d98c,454d34b50b7bf34b,45.73079,4.90371
FR-303196,2025-07-12,2025-07-22,Unknown,Paris-CDG Hub,Lyon,13.1,492.2,Retardé,fourgonnette,14.17,232c9d11c882ea2c,6445f5d41ca88ca8,45.78863,4.84014
FR-390160,2025-07-25,2025-07-30,FedEx,Lyon Distribution Center,Paris,248.2,97.8,Livré,avion,348.23,5544f6afe2c2fa55,f234519d8661974a,48.81174,2.42849
FR-965291,2025-07-10,2025-07-16,Chronopost,Bordeaux Logistics Park,Rennes,1590.1,561.8,Livré,gros_camion,318.87,f057aa1333d44acb,ad2fad46234c8024,48.02166,-1.65968
FR-790907,2025-07-16,2025-07-19,FedEx,Paris-CDG Hub,Nantes,153.7,507.7,Livré,avion,416.44,f057aa1333d44acb,97ffe28bedd6100e,47.28702,-1.58749
FR-369114,2025-07-27,2025-07-29,UPS,Paris-CDG Hub,Marseille,15.0,1039.0,Retardé,avion,350.91,50b6dd7a25a72160,4e111419dfb6f6eb,43.28085,5.28984
FR-931538,2025-07-13,2025-07-14,DB Schenker,Bordeaux Logistics Park,Rennes,2515.0,36.4,Livré,train,203.76,d0443b3d89fde63f,56fbd5a6588e37ab,48.22034,-1.59003
FR-798168,2025-07-17,2025-07-24,GLS,Lyon Distribution Center,Rennes,4181.2,1084.7,Livré,gros_camion,584.51,b3ede2357f536e0a,332e6aa894647306,48.1616,-1.68465
FR-415557,2025-07-01,,XPO Logistics,Paris-CDG Hub,Tours,37.6,1112.6,En attente,avion,305.62,232c9d11c882ea2c,fb62937e1b3ca183,47.3367,0.65469
FR-145002,2025-07-19,2025-07-26,GLS,Marseille Port Depot,Tours,1864.1,421.3,Livré,train,274.77,94f32f590e70c04a,49be847ee78cf141,47.36759,0.64516
FR-575774,2025-07-24,2025-08-05,XPO Logistics,Bordeaux Logistics Park,Dijon,954.1,310.4,Livré,gros_camion,299.77,ba4df4a50d5ef322,2ddfc5d4dd995574,47.28345,5.07031
FR-674736,2025-07-07,2025-07-19,Unknown,Paris-CDG Hub,Bordeaux,559.3,949.1,Livré,petit_camion,150.66,2bfcfe607c0a5f31,61870a67e4ef3ceb,44.76165,-0.63599
FR-672735,2025-07-02,2025-07-15,FedEx,Lyon Distribution Center,Bayonne,26.3,191.9,Livré,avion,167.32,232c9d11c882ea2c,e12eff86d960265e,43.50682,-1.47781
FR-746465,2025-07-20,,GLS,Marseille Port Depot,Ajaccio,41.1,865.0,En attente,fourgonnette,17.77,ddd94bb935d6fc90,6eea540f1e0bad92,41.95123,8.69786
